"Model" "fit" "MSE" "QL" "EstimationName" "Restimation" "ModelName" "Distribution"
"50" 2 "arch.sstd" 1.6473332697156 2.52923645764796 "fit.mov2" 5 "arch" "sstd"
"51" 3 "garch.norm" 1.58827665502194 2.45922635532155 "fit.mov2" 5 "garch" "norm"
"52" 4 "garch.sstd" NA NA "fit.mov2" 5 "garch" "sstd"
"53" 5 "eGarch.norm" 1.60976315380738 2.47418076240639 "fit.mov2" 5 "eGarch" "norm"
"54" 6 "eGarch.sstd" NA NA "fit.mov2" 5 "eGarch" "sstd"
"55" 7 "gjrGarch.norm" 1.58248310587938 2.46250367657121 "fit.mov2" 5 "gjrGarch" "norm"
"56" 8 "gjrGarch.sstd" NA NA "fit.mov2" 5 "gjrGarch" "sstd"
"57" 9 "EWMA.norm" 1.59175027819172 2.46856834133752 "fit.mov2" 5 "EWMA" "norm"
"58" 10 "EWMA.sstd" 1.5888179461854 2.46448873265868 "fit.mov2" 5 "EWMA" "sstd"
"59" 11 "apArch.norm" 1.63487784322129 2.45127116126046 "fit.mov2" 5 "apArch" "norm"
"60" 12 "apArch.sstd" NA NA "fit.mov2" 5 "apArch" "sstd"
"61" 1 "arch.norm" 5.97323357423251 24.9321066372691 "fit.mov2" 20 "arch" "norm"
"62" 2 "arch.sstd" 1.65060460052727 2.52779491550389 "fit.mov2" 20 "arch" "sstd"
"63" 3 "garch.norm" 1.59346616107728 2.47147731622675 "fit.mov2" 20 "garch" "norm"
"64" 4 "garch.sstd" NA NA "fit.mov2" 20 "garch" "sstd"
"65" 5 "eGarch.norm" 1.62921412091393 2.51679243490685 "fit.mov2" 20 "eGarch" "norm"
"66" 6 "eGarch.sstd" NA NA "fit.mov2" 20 "eGarch" "sstd"
"67" 7 "gjrGarch.norm" 1.59704754264775 2.47909840926543 "fit.mov2" 20 "gjrGarch" "norm"
"68" 8 "gjrGarch.sstd" NA NA "fit.mov2" 20 "gjrGarch" "sstd"
"69" 9 "EWMA.norm" 1.60058541626845 2.48177060729151 "fit.mov2" 20 "EWMA" "norm"
"70" 10 "EWMA.sstd" 1.59436018508448 2.45462897256262 "fit.mov2" 20 "EWMA" "sstd"
"71" 11 "apArch.norm" 1.66377093271848 2.45920883700418 "fit.mov2" 20 "apArch" "norm"
"72" 12 "apArch.sstd" NA NA "fit.mov2" 20 "apArch" "sstd"
"73" 1 "arch.norm" 5.30770154669906 34.5058146469713 "fit.mov2" 60 "arch" "norm"
"74" 2 "arch.sstd" 1.65868120026821 2.5249589099319 "fit.mov2" 60 "arch" "sstd"
"75" 3 "garch.norm" 1.60065639143053 2.46688972750921 "fit.mov2" 60 "garch" "norm"
"76" 4 "garch.sstd" NA NA "fit.mov2" 60 "garch" "sstd"
"77" 5 "eGarch.norm" 1.68516993312686 2734.61589988079 "fit.mov2" 60 "eGarch" "norm"
"78" 6 "eGarch.sstd" NA NA "fit.mov2" 60 "eGarch" "sstd"
"79" 7 "gjrGarch.norm" 1.60298696185962 2.46601144506048 "fit.mov2" 60 "gjrGarch" "norm"
"80" 8 "gjrGarch.sstd" NA NA "fit.mov2" 60 "gjrGarch" "sstd"
"81" 9 "EWMA.norm" 1.60346071401894 2.47640899864412 "fit.mov2" 60 "EWMA" "norm"
"82" 10 "EWMA.sstd" 1.62326197699416 2.48630577377199 "fit.mov2" 60 "EWMA" "sstd"
"83" 11 "apArch.norm" 1.67833349074727 2.45991414176185 "fit.mov2" 60 "apArch" "norm"
"84" 12 "apArch.sstd" NA NA "fit.mov2" 60 "apArch" "sstd"
"85" 1 "arch.norm" 7.18290900815153 8.70166628719418 "fit.mov2" 252 "arch" "norm"
"86" 2 "arch.sstd" 1.65484062332072 2.4851326338098 "fit.mov2" 252 "arch" "sstd"
"87" 3 "garch.norm" 1.58931526336571 2.42690428510536 "fit.mov2" 252 "garch" "norm"
"88" 4 "garch.sstd" NA NA "fit.mov2" 252 "garch" "sstd"
"89" 5 "eGarch.norm" Inf Inf "fit.mov2" 252 "eGarch" "norm"
"90" 6 "eGarch.sstd" 6.0271663895594e+102 80624.2362368428 "fit.mov2" 252 "eGarch" "sstd"
"91" 7 "gjrGarch.norm" 1.62359252703167 2.55577130895848 "fit.mov2" 252 "gjrGarch" "norm"
"92" 8 "gjrGarch.sstd" NA NA "fit.mov2" 252 "gjrGarch" "sstd"
"93" 9 "EWMA.norm" 1.59499288499176 2.44435061183671 "fit.mov2" 252 "EWMA" "norm"
"94" 10 "EWMA.sstd" 1.59548089642025 2.44380149909072 "fit.mov2" 252 "EWMA" "sstd"
"95" 11 "apArch.norm" 1.63418778186498 2.42414131618534 "fit.mov2" 252 "apArch" "norm"
"96" 12 "apArch.sstd" 1.66223322866535 2.43610687155721 "fit.mov2" 252 "apArch" "sstd"
"97" 1 "arch.norm" 6.71681738917611 17.9750800057115 "fit.mov5" 5 "arch" "norm"
"98" 2 "arch.sstd" 1.67267669498831 2.52423734954019 "fit.mov5" 5 "arch" "sstd"
"99" 3 "garch.norm" 1.57809495771756 2.45747231080326 "fit.mov5" 5 "garch" "norm"
"100" 4 "garch.sstd" NA NA "fit.mov5" 5 "garch" "sstd"
"101" 5 "eGarch.norm" 1.57624749408428 2.4367643236938 "fit.mov5" 5 "eGarch" "norm"
"102" 6 "eGarch.sstd" 1.57723332026238 2.44215934686342 "fit.mov5" 5 "eGarch" "sstd"
"103" 7 "gjrGarch.norm" 1.58965171487111 2.44696754801958 "fit.mov5" 5 "gjrGarch" "norm"
"104" 8 "gjrGarch.sstd" NA NA "fit.mov5" 5 "gjrGarch" "sstd"
"105" 9 "EWMA.norm" 1.58363784554376 2.46430358753645 "fit.mov5" 5 "EWMA" "norm"
"106" 10 "EWMA.sstd" 1.58554373563469 2.47310114993087 "fit.mov5" 5 "EWMA" "sstd"
"107" 11 "apArch.norm" 1.6330306814144 2.45905245644529 "fit.mov5" 5 "apArch" "norm"
"108" 12 "apArch.sstd" NA NA "fit.mov5" 5 "apArch" "sstd"
"109" 1 "arch.norm" 7.17924372279927 49.786162341787 "fit.mov5" 20 "arch" "norm"
"110" 2 "arch.sstd" 1.67600843376641 2.5208214471587 "fit.mov5" 20 "arch" "sstd"
"111" 3 "garch.norm" 1.57823127966735 2.45550686824779 "fit.mov5" 20 "garch" "norm"
"112" 4 "garch.sstd" 1.57712146473104 2.44843804635949 "fit.mov5" 20 "garch" "sstd"
"113" 5 "eGarch.norm" 1.57811961393846 2.44147428759575 "fit.mov5" 20 "eGarch" "norm"
"114" 6 "eGarch.sstd" 1.57846466433345 2.44222386812713 "fit.mov5" 20 "eGarch" "sstd"
"115" 7 "gjrGarch.norm" 1.59284692063822 2.44842092198977 "fit.mov5" 20 "gjrGarch" "norm"
"116" 8 "gjrGarch.sstd" NA NA "fit.mov5" 20 "gjrGarch" "sstd"
"117" 9 "EWMA.norm" 1.58521379502833 2.46787188232367 "fit.mov5" 20 "EWMA" "norm"
"118" 10 "EWMA.sstd" 1.58676219224334 2.47280027668597 "fit.mov5" 20 "EWMA" "sstd"
"119" 11 "apArch.norm" 1.63918215480306 2.46502974925914 "fit.mov5" 20 "apArch" "norm"
"120" 12 "apArch.sstd" NA NA "fit.mov5" 20 "apArch" "sstd"
"121" 1 "arch.norm" 9.11302255248844 31.2580170276369 "fit.mov5" 60 "arch" "norm"
"122" 2 "arch.sstd" 1.68512182470833 2.5228666887226 "fit.mov5" 60 "arch" "sstd"
"123" 3 "garch.norm" 1.57885469188096 2.44369306053227 "fit.mov5" 60 "garch" "norm"
"124" 4 "garch.sstd" 1.57741024959622 2.4424902593252 "fit.mov5" 60 "garch" "sstd"
"125" 5 "eGarch.norm" 1.57963046565393 2.43546855292415 "fit.mov5" 60 "eGarch" "norm"
"126" 6 "eGarch.sstd" 1.57926583923537 2.43714686904413 "fit.mov5" 60 "eGarch" "sstd"
"127" 7 "gjrGarch.norm" 1.59639466972558 2.45104266714893 "fit.mov5" 60 "gjrGarch" "norm"
"128" 8 "gjrGarch.sstd" 1.59709841200212 2.45420453935561 "fit.mov5" 60 "gjrGarch" "sstd"
"129" 9 "EWMA.norm" 1.58510763203036 2.45576965066578 "fit.mov5" 60 "EWMA" "norm"
"130" 10 "EWMA.sstd" 1.58687901745549 2.46074301001709 "fit.mov5" 60 "EWMA" "sstd"
"131" 11 "apArch.norm" 1.64255651470273 2.46666225698378 "fit.mov5" 60 "apArch" "norm"
"132" 12 "apArch.sstd" NA NA "fit.mov5" 60 "apArch" "sstd"
"133" 1 "arch.norm" 12.6341121183488 26.3827936550404 "fit.mov5" 252 "arch" "norm"
"134" 2 "arch.sstd" 1.69364047717775 2.52385268832579 "fit.mov5" 252 "arch" "sstd"
"135" 3 "garch.norm" 1.57496666106177 2.43533797997734 "fit.mov5" 252 "garch" "norm"
"136" 4 "garch.sstd" 1.57466055137006 2.43926704922581 "fit.mov5" 252 "garch" "sstd"
"137" 5 "eGarch.norm" 1.5781615770907 2.44514585356002 "fit.mov5" 252 "eGarch" "norm"
"138" 6 "eGarch.sstd" 1.58173647021118 2.44292555358813 "fit.mov5" 252 "eGarch" "sstd"
"139" 7 "gjrGarch.norm" 1.59712089049099 2.4473496391799 "fit.mov5" 252 "gjrGarch" "norm"
"140" 8 "gjrGarch.sstd" 1.59929131996321 2.4444517362564 "fit.mov5" 252 "gjrGarch" "sstd"
"141" 9 "EWMA.norm" 1.58393381996962 2.45628824503113 "fit.mov5" 252 "EWMA" "norm"
"142" 10 "EWMA.sstd" 1.58513661247255 2.45409190283352 "fit.mov5" 252 "EWMA" "sstd"
"143" 11 "apArch.norm" 1.64973256493306 2.45984987537257 "fit.mov5" 252 "apArch" "norm"
"144" 12 "apArch.sstd" 1.6615930658211 2.46360042474264 "fit.mov5" 252 "apArch" "sstd"
